"whole","cyto","nuc"
46.56,13.59,7.77
0,0,0
37.1,38.94,13.28
6.17,1.42,1.46
18.09,6.84,9.29
0,0,0
59.52,1.91,1.73
41.19,13,12.18
116.17,37.72,43.72
14.54,3.95,4.32
7.2,3.15,3.21
11.13,2.98,3.44
44.97,69.46,67.35
0.61,0.06,0.04
3.77,2.94,9.75
0.19,0.02,0.07
39.2,7.78,12.1
13.69,4.79,2.94
49.68,15.69,14.69
17.86,7.88,20.95
0.37,0.34,0.02
26.95,58.83,53.6
30.02,23.13,11.33
83.31,140.41,73.57
0.22,0.48,0.56
0.01,0,0
0,0,0
12.16,11.51,20.74
7.93,18.17,47.77
115.57,152.29,265.15
23.44,10.38,8.25
0.06,0.03,0.01
171.76,72.13,53.14
1.08,0.34,0.17
10.13,10.59,34.92
1.21,0.11,0.1
18.37,31.64,32.14
19.51,4.12,4.11
5.16,1.13,1.03
48.58,35.78,37.63
77.39,3.82,3.66
30.37,13.95,18.23
69.7,26.88,74.72
0.01,0,0
5.14,0.35,0.56
113.96,181.32,189.54
3.6,3.11,14.23
122.58,108.5,82.29
37.34,28.08,111.31
112.2,121.67,72.12
9.29,2.47,7.63
94.93,81.91,97.28
78.33,49.88,50.54
31.98,12.08,12.94
5.86,12.77,36.93
42.94,12.17,11.66
13.79,1.9,2.48
0.09,0.18,0.35
1.59,5.84,85.5
121,173.77,129.48
19.82,1.79,5.24
0.07,0,0
0.31,0.78,1.78
0,0,0
0.48,0.76,1.45
40.06,12.11,9.54
21.65,6.92,5.86
100.48,38.54,34.22
0.02,0,0.02
0.08,0,0.01
26.82,21.12,7.98
7.29,4.84,11.55
0.06,0.06,0.15
22.5,14.96,80.2
16.78,2.49,1.88
568.23,744.23,926.51
13.72,28.62,18.62
0.52,0.39,0.3
53.67,141.55,52.26
27.05,17.02,24.67
0,0,0
9.77,0.82,1.35
48.1,42.87,66.58
39.32,9.77,3.45
13.51,2.81,1.32
3.95,1.7,2.68
86.87,50.17,41.51
8.63,26.05,367.1
10.86,5.2,11.79
14.5,10.24,5.91
2.22,0.92,0.29
37.48,17.26,22
13.26,3.84,10.33
0,0,0.01
0,0.01,0
6.19,0.38,1.15
30.8,7.91,8.07
44.76,86.16,166.01
8.6,3.3,2.75
0.1,0,0
23.99,2.69,4.14
49.33,51.45,92.71
0.05,0.11,0.35
48.5,5.76,3.75
24.83,9.85,20.38
30.49,6.16,8.63
18.37,4.87,4.22
0.31,0.32,0.27
26.15,44.77,80.01
137.66,136.57,1137.24
22.08,5.92,6.63
72.08,17.56,18.34
1.06,1.44,14.75
2.36,0.35,0.28
61.83,23.46,11.76
10.08,70.98,176.65
1.01,0.93,1.84
5.35,6.92,63
55.03,87.94,55.88
0.74,0.49,1.65
0,0,0
7.78,29.41,141.61
1.98,1.38,13.78
0,0,0
14.77,43.85,419.63
234.77,62.76,63.98
0.02,0,0
29.1,11.36,20.78
0.13,0.03,0.16
36.89,52.09,416.94
3.71,8.37,33.23
67.43,267.43,462.66
0,0.06,0
7.78,2.22,5.09
14.31,6.83,3.19
59.79,44.78,52.47
4.61,0.37,1.07
4.15,1.82,2.17
44.54,30.3,32.79
82.74,116.13,255.49
0,0,0.01
26.91,5.58,2.15
2.03,2.92,1.67
26.5,9.36,37.28
7.88,1.36,2.3
30.24,29.95,10.36
13.1,8.22,7.56
0.2,0.44,0.88
