,total,Cytosol,Insoluable,Membrane,Nucleus
ENSG00000000003.14,0.075163702,0.035243609,0.021958662,0,0.303979438
ENSG00000000005.5,0.03,0.035730827,0.021958662,0.009968908,0.079257773
ENSG00000000419.12,79.62858125,43.95567683,106.5337399,30.50582217,56.57715147
ENSG00000000457.13,5.535818512,0.72355038,4.226316417,1.149129432,9.879711634
ENSG00000000460.16,25.25250404,6.008099264,15.99734986,5.420818163,26.20326227
ENSG00000000938.12,0.035381972,0.019025564,0.005489666,0.019968908,0.049072216
ENSG00000000971.15,94.40130356,5.217867689,24.90421274,4.627668121,160.0788941
ENSG00000001036.13,75.2143654,50.46253105,32.34138296,39.21988365,111.8627081
ENSG00000001084.10,15.60785166,0.924780459,9.357502436,2.147046286,14.65041374
ENSG00000001167.14,28.60611156,1.008538346,13.01660427,2.849067248,29.75639417
ENSG00000001460.17,7.229672595,6.141857152,5.284096959,5.18436262,7.205629386
ENSG00000001461.16,21.29508893,5.332344369,10.22154529,8.354953362,19.85775326
ENSG00000001497.16,64.60902384,7.097891757,82.26401797,14.06020611,57.3672994
ENSG00000001561.6,0.004945433,0,0,0,0
ENSG00000001617.11,1.345381972,0.255127821,0.411958662,0.294984454,1.746577232
ENSG00000001626.14,0.005054567,0.004756391,0,0,0.086577232
ENSG00000001629.9,17.52520412,1.47037143,4.681365653,1.28,26.09753007
ENSG00000001630.15,85.92064875,16.15731737,26.86951521,18.21011283,63.74148695
ENSG00000001631.14,43.82487066,2.069049632,20.72387296,5.045895892,47.31691571
ENSG00000002016.16,8.040470898,0.553294737,1.920979331,0.964953362,21.88862085
ENSG00000002079.12,0.004945433,0.004756391,0.014510334,0.034891179,0.09832999
ENSG00000002330.13,27.06821948,64.45842256,34.20869602,64.41862219,21.80088516
ENSG00000002549.12,65.40512934,21.99945423,80.0890499,22.70863021,36.04723422
ENSG00000002586.18,48.25069523,81.39687374,30.95129206,84.88555564,71.18699097
ENSG00000002587.9,0,0,0,0,0
ENSG00000002726.19,0.024727163,0,0.005489666,0.009968908,0.02944333
ENSG00000002745.12,0,0,0,0,0.030185557
ENSG00000002746.14,0.14956346,0.401345866,0.19216535,0.259782358,0.121855567
ENSG00000002822.15,42.09000606,48.37809926,51.46399849,53.53303545,42.10735709
ENSG00000002834.17,118.0082255,11.18837897,75.30198572,31.87334637,69.83374876
ENSG00000002919.14,13.78625505,5.028909777,11.37175197,10.7340517,15.44699097
ENSG00000002933.7,0.524618028,0.500974436,0.665489666,0.505233188,1.289072216
ENSG00000003056.7,84.49895513,29.97192935,51.99676441,43.41956472,153.8200551
ENSG00000003096.13,2.16978173,0.433666168,1.818634347,0.689782358,2.000185557
ENSG00000003137.8,0.010109135,0,0.005489666,0,0.06888666
ENSG00000003147.17,22.52989087,15.23789176,21.78227357,19.16078707,20.17303159
ENSG00000003249.13,12.38378537,18.95048722,8.878580239,25.84220751,6.963959375
ENSG00000003393.14,8.512871868,0.503781955,3.892965048,1.154766812,9.393939313
ENSG00000003400.14,12.51458367,0.981090223,6.228095446,1.560093275,13.96076479
ENSG00000003402.19,50.45123484,10.72869772,24.40807814,12.85269344,72.05803155
ENSG00000003436.14,80.31482418,11.77200156,28.36738448,7.69932576,103.6733225
ENSG00000003509.15,18.50490501,3.314177453,11.91518451,3.72801013,47.76136657
ENSG00000003756.16,71.35455943,3.588166916,25.5316535,5.473367684,171.7724021
ENSG00000003987.13,0,0,0,0,0.075649449
ENSG00000003989.16,0,0,0,0,0.009814443
ENSG00000004059.10,163.9194018,304.4322195,155.3106428,307.2315253,139.5675226
ENSG00000004139.13,0.355272837,0.059512782,0.097062006,0.119968908,0.668061686
ENSG00000004142.11,82.99974131,95.97197749,67.22638783,105.3399689,46.74123372
ENSG00000004399.12,25.40210792,2.971090223,15.09654041,7.585948298,38.21441573
ENSG00000004455.16,368.7463359,255.8459507,406.7750579,226.4721223,270.3776756
ENSG00000004468.12,0.13934519,0.049025564,0.08059301,0.015046638,0.075649449
ENSG00000004478.7,72.92990298,42.0511956,78.75776323,53.8542054,53.78795638
ENSG00000004487.15,137.8441411,21.22970532,167.6847095,45.22482548,125.7323721
ENSG00000004534.14,60.8307983,8.554616536,48.56522887,13.81476681,98.89083246
ENSG00000004660.14,3.652837509,0.220487218,1.288220971,0.714922271,6.707444828
ENSG00000004700.15,19.72287187,1.177587978,10.08781734,1.644300436,14.77876379
ENSG00000004766.15,13.21981609,1.965870682,5.944591496,1.284580262,10.61575226
ENSG00000004776.11,0.235272837,0.044756391,0.182344984,0.174984454,0.457587763
ENSG00000004777.18,21.02202103,1.613410525,2.163558057,2.974828996,30.19241973
ENSG00000004779.9,224.5808569,572.7219794,340.6106374,334.668393,159.5103135
ENSG00000004799.7,0.124945433,0.004756391,0.050979331,0,0.10944333
ENSG00000004809.13,0,0,0,0,0
ENSG00000004838.13,0.742837509,0.711461654,0.845282978,0.740590743,2.490082747
ENSG00000004846.16,0,0.009512782,0,0,0
ENSG00000004848.6,0.03,0.015243609,0.01,0.020031092,0.02
ENSG00000004864.13,53.30981609,23.83126325,37.23676659,26.21470287,43.32087009
ENSG00000004866.18,35.75935125,18.40012034,21.53525592,18.14459004,41.90282597
ENSG00000004897.11,82.74233831,7.744481232,49.2651672,14.52043353,80.72588512
ENSG00000004939.13,1.08261924,0.124756391,0.414510334,0.214891179,1.04045386
ENSG00000004948.13,0.235600242,0.015243609,0.08,0.025015546,0.18111334
ENSG00000004961.14,52.01851253,47.55211735,71.8489763,48.96521187,34.26989469
ENSG00000004975.11,32.89523848,10.53262408,13.17788876,17.35116017,26.93024824
ENSG00000005001.9,0.115600242,0.020974436,0,0.014953362,0.13
ENSG00000005007.12,61.64767381,6.115615039,25.06848177,11.62838323,58.01049648
ENSG00000005020.12,14.13862166,0.812320302,5.348302133,1.45454917,4.733608325
ENSG00000005022.5,629.9684256,589.6936369,846.8743816,497.5367115,424.9241953
ENSG00000005059.15,8.948662082,12.37255188,8.46536414,12.13283913,5.870205619
ENSG00000005073.5,0,0,0,0,0
ENSG00000005075.15,106.5756811,808.9371184,134.2753522,515.1924161,65.81033099
ENSG00000005100.12,15.26302142,0.774756391,5.065930095,2.264953362,15.50668254
ENSG00000005102.12,0,0,0,0,0
ENSG00000005108.15,0.009890865,0.004756391,0,0,0.015278335
ENSG00000005156.11,27.99306184,1.440139855,12.4059842,2.286984103,28.58542377
ENSG00000005175.9,51.58792644,11.61100305,37.17744076,8.516517727,27.6011334
ENSG00000005187.11,172.6414754,44.91701228,182.6701396,51.20008976,165.2664744
ENSG00000005189.19,23.20360145,5.444085734,19.65770912,7.526611002,27.27039367
ENSG00000005194.14,66.47289005,33.29214141,83.98911157,41.07741939,56.80029086
ENSG00000005206.16,73.20798909,2.375383464,4.49955957,3.909968908,140.4606669
ENSG00000005238.19,7.03087308,1.366705263,2.993944379,2.449782358,13.72272316
ENSG00000005243.9,0.134727163,0.065243609,0.04940699,0.064797904,0.391196087
ENSG00000005249.12,100.2436985,34.58270083,58.60065686,46.27600872,38.59342277
ENSG00000005302.17,29.59875304,13.82130228,18.0637918,13.0262379,41.60060179
ENSG00000005339.13,22.49432498,0.530858648,2.887655016,1.025171004,18.77721915
ENSG00000005379.15,5.002871868,0.233781955,0.467655016,0.300093275,11.87822968
ENSG00000005381.7,0.23130962,0.02,0.042937994,0.03,0.196206119
ENSG00000005421.8,0,0,0,0,0
ENSG00000005436.13,16.17148747,17.46420152,13.1026772,12.5881345,20.09715646
ENSG00000005448.16,5.629597818,5.454153386,6.223297261,4.949751266,6.405855068
ENSG00000005469.11,4.482797091,2.404409028,2.281958662,1.714176069,6.230228179
ENSG00000005471.15,0.576145917,0.322204514,0.635130398,0.55473572,0.901298897
ENSG00000005483.19,38.9965764,3.241369934,28.56150092,3.615015546,68.16817448
ENSG00000005486.16,40.70403799,57.88364665,22.40499513,63.7626117,61.79276578
ENSG00000005513.9,0.02978173,0.005243609,0.009020669,0.01,0.055092778
ENSG00000005700.14,17.92396322,1.13317895,7.913019156,1.649689083,15.48464141
ENSG00000005801.16,59.35580639,7.046777466,28.95343253,8.024838774,128.2602482
ENSG00000005810.17,27.204808,1.045730827,18.39543556,2.689347074,22.04245236
ENSG00000005812.10,9.516438964,1.136102257,4.161779029,1.813585327,7.433217149
ENSG00000005844.17,0.01,0.033294737,0.052551672,0.095202096,0.093979438
ENSG00000005882.11,2.379822148,3.530487218,1.317475382,2.270062183,1.398701103
ENSG00000005884.17,0.304290623,0.305243609,0.095489666,0.044984454,0.533237211
ENSG00000005889.15,14.21411277,0.644640604,3.855570828,0.744704629,12.32711384
ENSG00000005893.15,76.93033346,6.417915824,13.69092522,6.105864801,59.05993981
ENSG00000005961.17,34.84167138,5.084896246,9.155327342,7.1774407,52.33726426
ENSG00000005981.12,0.096036782,0.014269173,0.034510334,0.01,0.010185557
ENSG00000006007.11,37.12723727,26.74244064,28.02737691,38.10160523,29.84338264
ENSG00000006015.17,46.98628941,71.87783907,41.16886809,62.17383406,83.6547041
ENSG00000006016.10,1.56,5.965914266,2.423019156,6.04289153,1.874185057
ENSG00000006025.11,10.44480194,1.136102257,3.049200303,2.13526428,18.27404462
ENSG00000006042.11,43.68749596,49.82383009,34.31979331,56.46516123,49.95455867
ENSG00000006047.12,0.065163702,0.019025564,0.009020669,0.024953362,0.085092778
ENSG00000006059.3,0,0,0,0,0
ENSG00000006062.13,4.694147129,2.147076693,1.805489666,2.435668472,9.016619854
ENSG00000006071.11,0,0.068166916,0.049613678,0.069937817,0.232226681
ENSG00000006116.3,0,0,0,0,0
ENSG00000006118.14,0.22021827,0.015243609,0.075875987,0.029906725,0.370742227
ENSG00000006125.16,136.822401,24.78522864,82.65623743,41.78747981,67.49111334
ENSG00000006128.11,0.035381972,0.109025564,0.013531003,0.009968908,0.053979438
ENSG00000006194.9,26.84375101,1.380974436,12.86095228,4.083802969,34.68171263
ENSG00000006210.6,0,0,0,0,0
ENSG00000006282.20,2.465054567,0.470974436,0.616082675,0.709844541,7.580804911
ENSG00000006283.17,0.03,0,0,0,0.015092778
ENSG00000006327.13,22.51792644,35.35303909,10.94033221,38.03160699,41.57301652
ENSG00000006377.10,0,0,0,0,0
ENSG00000006432.15,0.765054567,0.044756391,0.225489666,0.090031092,0.814536108
ENSG00000006451.7,25.64661682,36.73986925,25.25244346,21.77365729,17.46428787
ENSG00000006453.13,18.24578415,6.030790996,11.96827508,7.417263928,16.23474422
ENSG00000006459.10,6.816984639,0.14,2.119434044,0.579626899,7.776268803
ENSG00000006468.13,21.18769605,2.835267677,9.052327674,2.462870217,23.31094785
ENSG00000006530.15,47.72086702,5.840930851,44.19451251,9.59477659,53.11256017
ENSG00000006534.15,0.125491107,0.048538346,0.110979331,0.039937817,0.114907222
ENSG00000006555.10,0.039890865,0.005243609,0.005489666,0.010031092,0.064721665
ENSG00000006576.16,23.14879952,5.433203018,6.651213073,4.982341658,23.59938314
ENSG00000006606.8,5.52999394,7.278842125,5.610664427,6.094673537,9.078989469
ENSG00000006607.13,20.46392886,1.570742861,6.320647118,3.115481922,12.79899197
ENSG00000006611.15,0.034836298,0.072320302,0.089613678,0.024984454,0.025463892
ENSG00000006625.17,101.8808731,205.8432154,118.6605097,135.6453425,65.70414244
ENSG00000006634.7,78.6507983,20.65641514,60.51775567,24.3983406,47.8088666
ENSG00000006638.11,18.80127526,7.06626618,7.664195431,12.23529537,18.89515297
ENSG00000006652.13,60.88609338,21.78485266,56.53792556,25.41306655,56.84622868
ENSG00000006659.12,0,0,0,0,0.039257773
ENSG00000006695.10,15.08843775,12.81624211,9.147861704,12.05430044,8.209506014
ENSG00000006704.10,24.62036176,14.83313537,33.60211124,26.98176069,28.06338015
ENSG00000006712.14,37.79829426,6.509724841,29.49495076,12.07525274,39.84472166
ENSG00000006715.15,27.33727163,0.632204514,9.723818853,1.744486987,32.26909478
ENSG00000006740.16,0.200763945,0.182320302,0.100386322,0.144984454,0.356577232
ENSG00000006744.18,56.00986863,5.159956416,39.74725138,11.08718043,63.61245736
ENSG00000006747.14,2.333744948,0.476960905,1.553737691,0.649875633,1.334350551
